timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,3.0054,16.0633,-3.5265,21.0044,-22.5869,10.5872,10.9058,16.6540,16.0533,-9.0012,-15.6946,1.5340,16.1693,12.2570,6.5881,-15.4712,0.0
1741737600.004000,1,3.6796,12.3720,-5.0929,17.3549,-21.9833,5.1365,7.9175,16.3827,16.5291,-10.7282,-10.8856,3.2496,19.6674,11.0856,10.3813,-16.4436,0.0
1741737600.008000,2,0.7212,3.7451,-5.6869,15.9857,-18.1996,0.9870,2.7314,15.5730,12.8326,-9.7141,-8.0336,3.9327,20.2668,15.0282,11.5231,-20.1117,0.0
1741737600.012000,3,2.8434,1.7123,-3.8281,11.9321,-16.8139,-4.1179,0.9329,12.7916,10.0465,-11.2689,-4.8485,9.9272,18.4563,14.0170,13.3081,-18.1181,0.0
1741737600.016000,4,4.8594,-0.2447,-3.7467,9.0265,-15.1717,-11.6217,-0.3397,11.1507,6.0088,-4.0671,-1.4019,10.0092,19.3617,14.0389,16.9065,-16.6077,0.0
1741737600.020000,5,4.6414,2.4913,-0.4941,7.8130,-10.2736,-19.9133,-2.5744,7.3572,1.2830,-6.0050,-4.5633,10.5685,20.2366,15.5171,17.9950,-16.0243,0.0
1741737600.024000,6,5.3232,-1.7445,0.7176,7.4298,-6.6586,-27.7094,-5.0897,3.9133,0.1650,-8.7410,-9.2625,11.3382,17.9689,16.5938,17.6910,-13.4403,0.0
1741737600.028000,7,3.9488,-5.0993,1.9918,2.8917,-2.7616,-32.0962,-8.5859,1.3335,-0.3822,-7.5731,-12.4695,9.2552,16.3373,17.3603,15.8146,-11.4386,0.0
1741737600.032000,8,6.1308,-7.0607,2.4372,0.0877,-0.7425,-33.0149,-8.8891,0.6024,-1.2051,-7.5775,-11.8103,6.3836,11.6068,17.5091,15.4515,-9.6468,0.0
1741737600.036000,9,6.0053,-10.5644,3.4557,-4.6871,-4.7278,-34.3280,-9.2654,1.3016,-2.1078,-10.3111,-12.5328,7.2209,7.4948,20.4318,14.3453,-7.3011,0.0
1741737600.040000,10,2.8670,-11.1547,3.5594,-10.4055,-8.9062,-32.2146,-12.0744,1.0901,-0.8400,-8.3568,-8.4462,7.1901,0.5172,19.1108,11.7297,-5.5010,0.0
1741737600.044000,11,6.0870,-13.5474,4.8318,-15.3682,-12.0196,-29.9919,-14.1818,-0.1205,-0.4846,-7.0690,-9.2626,5.4676,-6.8526,18.1323,8.9299,-2.6454,0.0
1741737600.048000,12,4.3997,-13.1639,4.2239,-10.1851,-13.5916,-24.3845,-18.2230,3.6814,2.0700,-9.6747,-6.8335,1.4419,-14.9923,14.9802,7.3797,1.4714,0.0
1741737600.052000,13,0.7079,-13.3757,3.5309,-15.8120,-12.2457,-19.0654,-18.8966,0.1305,2.8695,-9.1433,-4.5301,-0.9661,-19.9265,12.5996,4.8132,3.6579,0.0
1741737600.056000,14,0.7498,-11.4584,6.7045,-19.8612,-11.9921,-13.2524,-18.0869,0.2822,7.3580,-8.2436,-2.1609,-4.2612,-24.8807,10.0465,1.6032,9.7066,0.0
1741737600.060000,15,-0.0862,-9.4904,3.6327,-20.7399,-8.6994,-6.0831,-18.5039,3.7145,7.8059,-7.4947,1.2639,-6.8740,-24.3041,7.6316,3.3563,6.9947,0.0
1741737600.064000,16,-0.5222,-8.7127,0.2016,-22.5967,-7.6092,-0.8349,-17.3225,3.4048,10.5672,-6.8553,6.8309,-7.8933,-28.4655,3.8321,1.6537,8.9249,0.0
1741737600.068000,17,3.7184,-8.2836,8.5764,-18.9189,-7.0604,5.7039,-17.6698,3.7405,10.8728,-3.9132,11.8883,-4.2945,-27.1641,1.8922,0.8723,7.9448,0.0
1741737600.072000,18,1.1433,-8.5749,7.3306,-18.4373,-1.7999,7.8790,-14.7491,1.0878,10.0330,-4.3548,15.3286,-6.9588,-24.4414,1.0403,0.4654,7.1501,0.0
