timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,-2.7282,3.1571,1.0640,-12.0675,-4.7180,-2.7574,-5.8189,-5.3995,0.2655,0.0683,-2.0585,-4.6390,-2.6336,6.3794,-2.9035,-0.0449,0.0
1741737600.004000,1,-1.3921,2.8953,0.8192,-10.9459,-2.3431,0.3922,-8.2780,-3.1840,0.9361,3.5585,-2.9918,-3.8414,-5.6699,6.2568,-3.0824,2.6142,0.0
1741737600.008000,2,2.3516,0.0873,-2.7436,-6.1643,-7.3209,-1.0864,-9.0886,-3.5282,-1.4175,5.1681,-1.7869,-4.4853,-5.2169,10.2521,-4.7244,6.1076,0.0
1741737600.012000,3,2.1896,-1.4282,-2.6236,-1.1304,-6.7159,-0.2957,-9.4110,-2.1289,-0.9489,6.3259,-2.0036,-6.5452,-2.5664,5.8789,-3.0093,5.3189,0.0
1741737600.016000,4,-0.3124,-3.0712,-0.5035,1.2335,-5.2859,-2.6229,-10.5274,0.6338,-6.0285,3.6508,-1.4990,-4.8421,-1.6586,2.5107,-4.4987,4.3806,0.0
1741737600.020000,5,-2.0409,-6.3708,1.9409,-0.2389,-2.3754,-3.7772,-7.6884,4.9718,-7.2600,3.9607,-0.1032,-6.0744,-1.5402,-2.0405,-2.4557,3.1919,0.0
1741737600.024000,6,-3.3076,-9.4257,4.5965,-0.8005,-2.7744,-7.5222,-2.6801,3.6035,-6.9305,-0.2640,1.4252,-4.1284,-0.4197,-0.8071,-5.3227,2.0563,0.0
1741737600.028000,7,-6.0575,-7.1471,5.1930,-0.6847,-3.2115,-9.0442,0.4677,7.1154,-6.4845,-3.6174,-0.8613,-2.4843,-1.9216,0.8227,-5.5601,4.7922,0.0
1741737600.032000,8,-5.8401,-3.9550,6.5572,-2.3981,-3.2657,-8.8727,1.7518,5.6445,-7.8882,-5.7288,0.8798,-4.3528,-0.0144,1.8273,-4.2790,2.3916,0.0
1741737600.036000,9,-5.1445,-3.0314,4.6706,-4.5259,-4.4915,-6.5206,0.2125,1.2197,-7.3077,-5.3306,-3.1969,-0.7477,-2.3049,-1.1745,-4.5108,2.9925,0.0
1741737600.040000,10,-0.8866,-0.4715,5.5345,-7.6032,-4.8540,-4.7030,-2.0381,1.6018,-4.8655,-10.9279,-9.5152,-2.2807,-1.3209,-1.0080,-2.0451,-0.1645,0.0
1741737600.044000,11,5.5909,-0.1524,2.7074,-7.6605,-5.7075,-1.3536,-2.3216,2.0458,-4.1654,-8.8704,-6.7320,-2.0476,-1.1836,1.4051,-0.8385,-1.0562,0.0
1741737600.048000,12,8.9223,-5.3692,-4.6707,-3.7688,-5.2375,-3.8172,-4.6581,-1.4577,-2.9187,-10.6856,-6.5579,-5.4165,-0.4834,0.3884,-0.4896,-6.0147,0.0
1741737600.052000,13,7.7125,-4.2126,-0.6996,-1.0949,-5.3615,-3.4387,-4.1874,-1.6247,-2.5920,-10.4327,-3.5571,-8.7015,-1.5014,1.9145,1.6089,-7.5316,0.0
1741737600.056000,14,6.5186,-2.1444,3.6522,-1.0867,-2.7430,-7.2037,-7.3167,-3.6218,-3.7672,-12.0443,0.6391,-6.8425,-0.2842,3.3950,0.2003,-13.9623,0.0
1741737600.060000,15,2.0364,1.6321,5.6857,-5.4379,-1.5355,-6.1466,-8.8283,-3.2408,-1.3203,-10.5679,4.6460,-6.1896,0.7113,4.1989,-2.1701,-13.3706,0.0
1741737600.064000,16,2.6635,2.5618,1.7401,-6.1694,-1.3949,-3.7493,-7.5359,-2.5401,-3.4086,-11.7603,1.7951,-1.9215,-0.2077,6.3282,-5.4406,-12.2413,0.0
