timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,-1.3949,-3.8413,-6.0342,-3.9917,1.4183,5.0028,-10.2750,-1.2885,-6.8430,-18.2718,-3.9458,-0.1163,-3.0747,6.0738,5.8176,-3.3926,0.0
1741737600.004000,1,2.3550,-4.0258,-0.6140,2.7470,5.2360,1.3259,-5.6738,2.0734,2.6392,-8.9671,-1.7336,-4.9673,-4.0146,5.4118,5.9067,4.2856,0.0
1741737600.008000,2,4.7616,-6.2814,0.2609,2.8653,5.8024,2.0177,-3.8378,2.2197,9.9944,0.8118,-2.3172,-10.0202,-2.4843,7.6304,3.4957,11.5497,0.0
1741737600.012000,3,4.1821,-7.2180,4.6485,7.0737,4.8484,1.5933,-0.2490,1.1468,11.2586,5.3440,-0.7463,-12.2993,-5.3980,3.7419,4.9187,15.8892,0.0
1741737600.016000,4,2.0929,-8.5010,1.3570,3.9197,3.9693,-0.9506,1.5149,-1.5339,10.9385,6.9178,-0.3875,-11.7320,-6.3129,2.3750,2.3661,16.5212,0.0
1741737600.020000,5,2.9014,-6.3920,1.0701,4.9488,2.9742,-0.1025,0.2513,-3.9274,10.4239,6.2189,0.1996,-10.3652,-8.7098,-2.3594,-0.0481,11.3603,0.0
1741737600.024000,6,2.4633,-2.5050,-0.1039,2.0267,3.3128,-3.3353,3.3835,-2.9228,10.3038,9.7135,1.2051,-7.4304,-11.6073,-7.3260,-4.4853,10.8937,0.0
1741737600.028000,7,4.3063,2.7672,0.1535,0.7706,-1.4372,-3.4393,2.5643,-5.6120,7.3288,7.2978,0.5167,-2.0923,-12.5175,-9.6744,-6.3237,7.7383,0.0
1741737600.032000,8,1.4303,5.0128,-1.0910,-1.3345,-2.6281,-2.5540,2.6599,-5.8867,5.8774,7.5163,1.5435,-0.8276,-11.5766,-11.6575,-7.9589,2.9811,0.0
1741737600.036000,9,0.2693,5.8766,0.5630,-1.6583,-6.5493,-0.4388,1.3542,-5.4896,5.1471,4.7559,-2.3367,-1.2439,-11.0120,-11.9385,-8.8424,2.6665,0.0
1741737600.040000,10,2.5469,7.8387,0.9825,-1.5613,-8.8706,1.5854,-2.2121,-7.3363,0.5343,1.7092,-3.5536,-5.6425,-2.8412,-12.6662,-7.3610,-3.0627,0.0
1741737600.044000,11,1.0958,6.1616,3.4085,-1.7814,-9.9267,0.1061,-4.3662,-6.5800,-3.0926,2.6919,-3.7214,-5.2022,-2.7428,-11.5316,-10.0458,-6.8239,0.0
1741737600.048000,12,0.2651,3.9458,4.2901,-0.1654,-12.7451,-0.3983,-3.8530,-8.4452,-7.2016,-2.5427,-7.8565,-8.7747,-1.6090,-6.7453,-11.9645,-13.7221,0.0
1741737600.052000,13,0.1969,2.4294,4.4674,-4.8937,-8.7878,0.4444,-2.5351,-8.0326,-10.8419,-4.1923,-9.5538,-15.3662,-2.4826,-5.0105,-12.5771,-15.0538,0.0
1741737600.056000,14,-1.6404,0.1133,2.8926,-5.0415,-8.5609,-1.9182,-2.8768,-11.1694,-12.6734,-6.1690,-10.2563,-14.3058,-0.3122,-4.1122,-13.0696,-18.0599,0.0
1741737600.060000,15,-1.7167,-2.2064,2.9908,-1.8446,-9.5497,-1.8083,-0.9799,-12.5036,-13.9643,-11.6220,-1.5624,-15.7432,-3.9062,-2.5845,-13.3324,-19.4456,0.0
1741737600.064000,16,-1.8861,-1.2661,3.4169,-3.0499,-6.8358,-3.0388,-0.7848,-11.7220,-6.0366,-15.1160,0.8031,-16.0384,-4.2660,-5.2727,-11.4664,-13.1567,0.0
