timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,-11.3909,-1.7007,-8.5589,10.0712,-0.2100,-2.7887,10.5910,7.0933,-1.3165,-1.7248,-3.9624,-13.1786,6.9595,-0.9864,-5.7920,-7.2020,0.0
1741737600.004000,1,-6.3537,-6.1257,-8.2308,6.0604,-1.7023,3.7676,9.8028,9.5796,-5.0343,-4.4684,-3.8967,-13.9020,5.4033,-5.7585,-7.7035,-5.0337,0.0
1741737600.008000,2,-2.2952,-9.4358,-10.5912,-3.5009,-0.7759,4.9267,8.3757,9.5954,-4.3235,-8.3375,-1.3692,-14.0034,8.3416,-1.0085,-5.9054,-5.8094,0.0
1741737600.012000,3,-0.5218,-10.9571,-6.7794,-10.0544,-3.1589,6.8417,5.7435,6.3942,-2.2070,-6.9664,-4.0984,-8.2736,7.2687,-1.2685,-6.4753,-6.1368,0.0
1741737600.016000,4,-2.3072,-14.4359,-7.2927,-7.6303,-3.8631,3.2782,5.2484,4.7922,-4.8291,-6.2239,-3.6815,-7.2371,4.6681,-2.0942,-6.8350,-6.6858,0.0
1741737600.020000,5,4.1113,-13.5584,-5.8541,-11.2118,-4.6947,2.4624,4.2844,-2.5614,-6.8754,-1.6881,-1.5081,-7.2496,6.0126,-4.3176,-8.7419,-7.7524,0.0
1741737600.024000,6,7.5269,-10.5295,-6.6269,-8.9956,-3.5597,1.1718,4.1833,-6.4771,-5.1143,-5.5716,2.4595,-3.9982,6.3335,-5.8175,-6.7516,-6.8314,0.0
1741737600.028000,7,5.4531,-8.1929,-4.1463,-8.5491,0.1139,-0.4560,2.2356,-10.3156,-4.9939,-4.9032,2.8347,-3.0205,0.7797,-5.5958,-4.9917,-7.7058,0.0
1741737600.032000,8,2.8102,-2.6560,-1.5516,-7.8249,0.1253,1.6824,1.4241,-11.2291,-5.7963,-5.3828,6.3518,-0.3108,-1.0674,-8.8023,-1.2452,-7.5533,0.0
1741737600.036000,9,-1.7112,-1.9911,-1.9394,-4.1133,1.3569,-0.8176,-3.3377,-11.3376,-8.2785,-4.5306,2.2382,-0.8673,-2.3964,-6.7249,-0.9067,-11.7476,0.0
1741737600.040000,10,-4.2553,2.5415,-7.4329,-4.6522,-4.8514,-0.3198,-6.9790,-12.3406,-9.8407,-6.3264,-0.1911,-4.2053,-3.1551,-7.5714,3.8271,-12.4288,0.0
1741737600.044000,11,-6.2342,0.3982,-10.6357,-6.0684,-3.7602,0.3608,-15.8793,-11.3594,-9.0448,-6.9266,-2.7457,-3.9803,-1.7206,-8.4684,6.9066,-11.5433,0.0
1741737600.048000,12,-7.5670,-0.5737,-12.8018,-10.4632,-2.8960,-0.5828,-17.4920,-11.4103,-6.9389,-9.0471,-0.7036,-6.5688,-3.6572,-9.8477,6.3814,-9.6006,0.0
1741737600.052000,13,-5.7094,0.6734,-13.0763,-11.2383,1.0477,-2.6279,-15.9760,-10.3777,-12.1524,-9.0232,-1.4501,-4.4510,-6.7867,-13.0809,5.4534,-9.4633,0.0
1741737600.056000,14,-6.2116,0.9343,-10.9657,-13.6571,1.8321,-5.2518,-12.0505,-9.4268,-15.7728,-8.7189,-1.9715,-0.2982,-3.8115,-11.9191,5.6422,-11.0642,0.0
1741737600.060000,15,-3.5023,3.6468,-12.3792,-8.5867,6.2667,-12.3282,-10.0299,-12.0924,-11.9235,-7.1196,-3.6608,2.7054,-3.6639,-12.1691,5.5178,-10.7008,0.0
1741737600.064000,16,-3.1249,-0.4486,-9.8055,-8.2386,8.4972,-13.5795,-7.4484,-8.5624,-10.9606,-5.7793,-7.5805,3.7324,-2.4854,-10.2501,3.5385,-10.2469,0.0
1741737600.068000,17,-3.4215,2.8217,-6.5122,-5.7708,8.4152,-12.9301,-1.4757,-7.7349,-12.5376,-10.5635,-8.2440,0.9224,-0.2117,-9.9265,3.5629,-8.3880,0.0
