timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,-7.9322,6.6768,17.5065,-9.5285,9.3813,0.1547,-5.0317,-0.1710,5.1627,11.2549,3.5472,6.8002,-3.8585,3.7119,10.4794,2.7129,0.0
1741737600.004000,1,-3.9228,4.1017,10.9478,-15.1887,9.6007,-3.1648,-11.3976,-0.8787,5.3948,11.8379,-3.5510,3.3246,-4.6866,-0.0318,7.0737,2.7526,0.0
1741737600.008000,2,2.7271,-0.4232,2.1507,-15.1765,8.8778,-5.4991,-14.1133,-0.4700,4.1757,12.1371,-5.9174,5.0613,-5.3599,0.2875,7.7646,1.0542,0.0
1741737600.012000,3,9.2451,-6.5017,-4.3443,-13.9692,9.9864,0.6424,-15.1402,2.5899,2.8728,10.2226,-5.5788,3.5633,-3.5645,-2.4227,5.0539,-1.2443,0.0
1741737600.016000,4,18.9567,-5.8987,-7.2801,-15.3959,5.7752,1.3361,-9.9901,-0.5368,0.6098,10.5156,-0.0644,2.4926,-6.9915,1.3366,1.4105,-5.7999,0.0
1741737600.020000,5,20.5142,-1.1766,-2.0133,-6.8071,1.0401,3.6794,-8.0040,1.3693,-1.8305,9.2171,4.0173,0.5677,-6.1521,-3.3524,-0.8269,-2.9642,0.0
1741737600.024000,6,16.1756,7.7849,2.1907,2.4429,-5.2377,1.7752,-3.3116,-3.3868,-0.9072,4.9512,4.2911,-2.9109,-4.4821,-7.2015,-1.9145,2.9207,0.0
1741737600.028000,7,5.5571,15.4113,3.8815,10.7179,-6.0349,-7.2260,-2.9777,0.1892,-3.9694,-1.2567,0.6037,-1.6058,1.1961,-5.9469,-4.2759,-1.7307,0.0
1741737600.032000,8,-1.1058,16.8978,4.2174,13.8040,-2.2609,-9.4570,1.4706,-1.4031,-5.1024,-5.2314,1.8877,-2.4782,3.4983,-6.6144,-6.3588,-0.9226,0.0
1741737600.036000,9,-5.3899,14.5982,0.5644,10.5957,5.5738,-11.2166,7.3861,3.8551,-5.3930,-9.1184,1.0103,-3.9688,6.4020,-2.6573,-4.0936,7.8285,0.0
1741737600.040000,10,-4.1685,13.9053,1.3114,2.4413,8.7120,-6.5222,4.8221,9.2643,-2.3244,-7.9019,-3.1284,-3.8600,5.3827,1.5660,-3.0644,6.4141,0.0
1741737600.044000,11,-0.5638,7.9561,3.8360,-5.1411,11.0385,-1.2572,-0.7210,16.0110,-1.8959,-5.4090,-7.2751,-0.3187,-1.4816,2.8590,-2.7565,4.8258,0.0
1741737600.048000,12,0.8898,-1.4612,1.8546,-8.2047,6.4605,1.0059,-1.7774,15.9465,0.4055,-5.0352,-10.8025,4.2075,-3.4923,0.3313,1.3962,3.0947,0.0
1741737600.052000,13,0.6336,-9.7488,-0.7126,2.7110,5.0718,4.6962,-0.4395,12.0400,-1.2329,-5.2040,-5.6324,8.7105,5.2558,1.5963,1.0462,-0.8134,0.0
1741737600.056000,14,1.9752,-11.8453,-1.7620,5.9858,6.9383,5.3402,5.1078,8.3176,-1.9393,0.0448,1.4779,7.2343,4.3265,-0.4824,-1.5683,0.4158,0.0
1741737600.060000,15,-0.2412,-8.2333,-2.2879,8.4398,6.7726,5.7786,8.7146,4.4072,-5.9679,2.3198,6.6886,1.4760,2.8365,-1.6503,-5.3343,-0.2361,0.0
1741737600.064000,16,1.6100,-2.2021,-3.1390,10.4833,3.7128,7.2106,8.2727,-0.4996,-4.8656,3.0381,7.5075,-2.8325,4.8953,-3.1314,-4.7488,3.7865,0.0
1741737600.068000,17,1.2154,1.5770,-7.0700,15.6438,-0.0250,3.8774,9.8244,-5.6673,-3.5282,1.8589,8.5536,-5.8374,3.3639,-3.1303,-4.4230,3.4808,0.0
1741737600.072000,18,-0.5925,5.0010,-7.0261,11.4231,-1.3460,-1.9746,8.0382,-5.2266,-5.2426,-2.3613,6.7553,-4.2746,4.7515,2.3164,0.9611,5.2389,0.0
1741737600.076000,19,-3.3954,2.1257,-5.1844,8.8149,-1.7585,-5.6768,9.9351,-1.9628,-4.3956,-2.1440,5.6682,-1.5968,2.7826,7.6437,5.1638,2.8262,0.0
1741737600.080000,20,-3.9383,1.1311,5.9529,5.4139,-2.1778,-6.1780,9.0047,0.8269,-0.5386,-2.2959,1.6270,1.2904,3.2454,9.6168,6.2487,4.5863,0.0
1741737600.084000,21,-2.4817,0.9539,9.6733,1.9971,-2.6460,-2.1753,6.9509,3.8191,3.7855,1.5744,-0.3803,5.4138,-3.9532,4.1927,5.3850,3.1066,0.0
1741737600.088000,22,-5.0403,2.0363,10.9366,3.3334,-4.9742,-1.9905,3.2540,4.5638,10.6697,1.2167,-0.8234,8.1914,-6.7170,1.9438,5.6690,4.3209,0.0
1741737600.092000,23,-5.4574,2.2549,6.6701,5.4907,0.4433,-5.5880,2.3181,0.3072,11.7363,2.9490,1.3098,8.2448,-7.5552,-2.1424,2.7847,5.9613,0.0
1741737600.096000,24,-7.2924,2.4504,-0.8664,4.0674,3.6356,-8.3789,4.7689,3.1638,8.6424,3.1656,5.3978,4.4403,-1.1209,-3.6296,2.1326,7.2969,0.0
1741737600.100000,25,-2.1183,0.3288,-4.0358,-1.7098,10.7946,-7.6122,3.3758,1.6606,7.2384,4.1733,5.3231,-4.5005,2.8626,-3.6799,-2.2736,10.6878,0.0
1741737600.104000,26,3.3314,0.4823,-3.9295,-3.7245,8.9001,-7.8961,0.4988,6.0319,2.4865,1.5225,2.9546,-8.6066,7.8679,-2.6814,-3.1630,10.3972,0.0
1741737600.108000,27,5.3607,-1.7814,-4.1521,-1.5458,3.7386,-6.2395,-0.1141,6.1171,3.5445,-1.5209,-1.0012,-9.6232,6.7887,0.0576,-0.8304,11.9277,0.0
1741737600.112000,28,4.6321,-1.8031,-4.0025,2.0641,-0.8690,-8.8314,1.6086,3.8820,0.6232,-4.0105,-6.8102,-3.2921,6.3149,4.4753,-0.4319,9.1873,0.0
1741737600.116000,29,3.8187,-1.1678,-2.6549,8.3810,-4.3358,-10.1027,6.3365,1.7048,1.8501,-5.5416,-2.6831,2.8342,6.4855,3.9939,3.1201,4.2335,0.0
1741737600.120000,30,0.0226,1.8865,0.2747,12.3044,-4.8265,-4.2698,9.9703,-1.1497,3.9795,-6.3339,-1.8498,5.6629,5.8380,3.5834,3.3897,2.6826,0.0
1741737600.124000,31,-1.3202,6.3304,1.5991,13.8683,-0.2438,-0.3188,9.9086,0.3997,3.3848,-6.8706,2.0892,5.0506,4.3928,3.8246,4.3423,-2.8369,0.0
1741737600.128000,32,-2.9456,6.6536,0.4259,10.4086,4.1566,1.2037,10.0200,-1.7437,3.7860,-6.2818,4.3568,1.8999,3.1805,-0.1059,-1.0670,-3.5392,0.0
1741737600.132000,33,-1.7364,6.1154,-4.1973,6.5881,5.7620,-2.0637,5.1630,1.8234,-0.9112,-10.5236,4.3394,-1.0573,1.8909,-0.4602,-5.1434,-6.9549,0.0
1741737600.136000,34,-3.2448,-2.0665,-8.1080,-0.0307,4.7705,-3.3823,1.8805,2.4581,-3.4587,-10.0416,4.4867,-4.2269,3.4542,-1.8171,-6.2389,-7.7847,0.0
1741737600.140000,35,2.7271,-5.9302,-11.0462,-4.1887,0.6662,-2.1883,0.2552,3.9356,-7.1288,-7.8763,2.9207,-6.7893,8.0632,-1.8549,-3.1076,-6.7819,0.0
1741737600.144000,36,5.5054,-12.5204,-9.6370,-5.9993,-2.0681,-3.5289,-1.7554,3.7854,-6.4543,-3.4813,0.0937,-7.2152,5.6799,-1.2025,-2.0693,-4.2712,0.0
1741737600.148000,37,9.6478,-7.8220,-4.8444,-1.5003,-9.2982,-1.6163,0.1785,3.1115,-3.0448,-1.3076,-1.3770,-4.8330,5.9602,0.6634,-3.2991,-5.9450,0.0
1741737600.152000,38,8.0998,-8.2048,2.0469,2.8347,-12.1532,0.5002,2.8849,-1.5406,-2.2888,0.8976,-0.6692,-0.7500,3.0783,0.9122,0.8412,-5.8512,0.0
1741737600.156000,39,4.1417,-3.5324,3.0474,6.4817,-10.5065,-1.7540,4.6062,-3.6646,1.5960,3.9943,5.3658,0.0523,0.3146,1.0998,-1.0205,-9.0739,0.0
1741737600.160000,40,-0.5561,0.1824,8.3447,3.2904,-7.6610,-2.5849,4.7904,-7.0576,3.2902,2.6275,7.3454,1.0543,3.6576,-1.0189,-0.1933,-5.8267,0.0
1741737600.164000,41,-2.9636,-0.2234,10.3912,-0.0216,-4.7974,-2.5000,0.2281,-3.5155,3.4060,-0.4523,4.9667,-1.1293,1.6341,-1.3834,-1.0294,-2.7810,0.0
1741737600.168000,42,-2.2404,-0.9400,11.0643,-7.7960,-1.8509,-5.3241,-4.7393,-2.0480,5.8708,-0.2594,2.3375,-1.8680,1.8324,-2.7267,-3.9778,1.5284,0.0
1741737600.172000,43,1.9213,-5.2733,7.2970,-10.0214,0.6007,-7.1762,-7.5251,-0.3416,5.1880,-1.2379,-2.9957,1.8192,1.1042,-0.3507,-4.8168,5.0756,0.0
1741737600.176000,44,4.4034,-9.8958,3.2231,-11.2143,2.6006,-4.1593,-9.6590,1.3439,4.3007,0.0688,-6.1732,1.2435,2.5209,-2.0199,-2.5675,4.0552,0.0
1741737600.180000,45,6.0781,-12.6902,0.4093,-12.4068,-1.0229,-0.6305,-6.2047,1.2931,8.9979,2.9935,-1.6827,-0.3057,3.7411,-3.4005,-1.2379,5.6516,0.0
