timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,5.1527,-5.8159,-6.0257,-5.5038,-2.1218,-1.5296,-9.2174,1.6370,-4.8123,-20.8056,-5.1608,-6.9718,5.5855,2.6788,-1.8215,-12.9229,0.0
1741737600.004000,1,5.0140,-4.8268,-5.5410,-1.2712,0.5685,-2.2091,-4.0949,2.1389,-6.5036,-18.6148,0.1263,-7.4943,3.6485,3.3228,-2.6211,-7.9528,0.0
1741737600.008000,2,4.7171,-3.4183,-4.2889,-1.8779,-1.4848,-4.3327,-0.9128,-0.6412,-7.6954,-18.8874,2.9630,-6.7991,2.8000,3.5650,-1.6583,-2.9733,0.0
1741737600.012000,3,5.5305,-2.4685,-6.9746,-4.0562,-0.4600,-4.3220,-1.3953,-1.1593,-6.7617,-12.0562,3.8487,-5.9430,2.7882,2.7634,-4.0224,1.3854,0.0
1741737600.016000,4,6.4353,-2.2330,-5.6632,-2.1067,-1.0285,-4.7758,3.8720,-2.7609,-5.4460,-6.8772,2.7362,-6.8460,0.9371,2.4638,-1.3070,4.0282,0.0
1741737600.020000,5,6.1916,1.2298,-9.1371,-0.4443,-3.2542,-6.6323,3.4700,-2.5473,-6.6122,-2.6154,3.2525,-4.0326,-3.3516,1.3860,0.2831,6.0540,0.0
1741737600.024000,6,3.6930,-0.1472,-8.4361,-11.6454,-3.2423,-5.4690,5.3150,-4.2597,-5.0569,-2.0404,4.4366,-0.2201,-4.6719,2.9270,0.6776,4.7584,0.0
1741737600.028000,7,4.4611,-0.3799,-7.1923,-11.0869,-5.0680,-5.9092,6.8512,-6.7350,-4.2492,1.9456,7.1595,3.8295,-6.6846,3.4943,0.4789,8.2251,0.0
1741737600.032000,8,2.8497,-10.2049,-7.7774,-9.1158,-1.4579,-5.4999,8.0394,-5.4221,-19.9324,5.5051,6.8775,6.6938,-8.1922,1.7776,0.5399,10.6487,0.0
1741737600.036000,9,5.1934,-12.9417,-9.0270,-5.9628,-1.1221,-5.9155,8.8067,-7.5263,-17.7008,9.1129,6.0098,9.1199,-4.0848,-7.2339,0.4343,7.2466,0.0
1741737600.040000,10,3.0806,-12.7128,-6.2907,-4.9469,-0.1210,-7.5457,8.3545,-6.6933,-15.7132,6.0849,8.0395,10.7098,-2.7367,-8.3215,-0.2373,6.7345,0.0
1741737600.044000,11,2.8492,-10.8961,-11.8042,-1.2002,-1.9316,-8.8300,6.0793,-5.4621,-9.9185,8.2437,10.0486,6.0657,-2.0732,-5.1070,0.1912,5.4791,0.0
1741737600.048000,12,1.3570,-9.5308,-9.4647,2.0680,-0.7961,-7.5378,3.8613,-4.8239,-10.2105,5.1896,8.3027,4.7004,-4.1694,-1.7917,-15.9691,3.8558,0.0
1741737600.052000,13,4.4765,-6.1444,-10.1500,0.3294,-4.2044,-3.9239,4.2842,-3.0614,-8.1512,7.5302,11.6620,3.9945,-8.5176,-3.0135,-11.5439,2.5385,0.0
1741737600.056000,14,3.7516,-0.4500,-10.9512,2.2851,-0.8679,-1.6776,-0.2445,-16.3621,0.3704,6.6268,14.2486,3.1108,-9.3351,0.7719,-10.1009,-0.3038,0.0
1741737600.060000,15,6.3018,-0.1427,-9.3222,2.6747,-2.9723,-0.4931,-2.0522,-17.1824,3.1933,5.5420,12.6031,-1.5465,-9.8769,3.7833,-6.7416,-5.9617,0.0
1741737600.064000,16,3.3093,5.1766,-5.4192,7.0902,-2.6189,-9.8456,-1.4237,-14.3200,7.4697,5.5039,9.2978,-3.4130,-8.6938,5.2682,-3.3804,-8.2099,0.0
1741737600.068000,17,4.9802,5.6439,-3.8785,10.1958,-3.2106,-11.2365,-2.4124,-10.8884,12.4328,4.3872,5.4387,-6.3832,-7.4184,10.0323,1.2127,-10.6255,0.0
1741737600.072000,18,5.7534,6.3153,-2.2118,13.0015,-2.7692,-11.7592,-3.3907,-7.5766,10.8469,0.5411,2.6960,-8.5485,-5.7728,10.6483,3.4850,-12.8881,0.0
1741737600.076000,19,8.3289,5.5961,-1.4206,11.7862,-0.1455,-8.2920,-2.4333,-3.1005,15.5680,-1.9902,-1.3679,-7.8849,-2.9311,12.1613,4.1353,-13.1105,0.0
1741737600.080000,20,-1.9704,3.1385,1.6147,8.8133,0.3730,-4.9978,-1.4984,3.2035,13.1619,-4.0785,0.7362,-5.1583,-1.0809,12.2914,10.2366,-11.3778,0.0
1741737600.084000,21,-3.4476,3.7132,6.3499,9.9047,0.4484,-3.5736,-2.4821,5.3904,11.3157,-5.9949,2.9343,-4.2405,-0.6052,15.7875,12.6493,-10.1361,0.0
1741737600.088000,22,-3.8601,0.8907,7.0405,10.4880,0.4074,-2.0229,0.6297,7.3497,7.1104,-6.8193,6.1163,-0.5075,-1.6456,13.3931,13.2719,-6.9210,0.0
1741737600.092000,23,-4.3115,-0.6547,5.8185,10.4633,-4.9415,-1.8295,0.1698,12.1150,4.8961,-5.1516,8.0466,1.5207,-1.4541,9.0611,12.6144,-5.5969,0.0
1741737600.096000,24,-2.7137,-1.7323,3.7628,12.9265,-4.7578,1.8197,4.3677,10.1463,5.5655,-5.3367,8.7357,0.6280,0.2915,8.2897,12.2827,-4.6536,0.0
1741737600.100000,25,1.2154,0.6531,5.0940,9.5850,-4.4161,0.7483,3.8496,12.3364,5.0295,-4.5730,7.1563,2.7619,-0.2364,3.8528,9.6627,-3.4606,0.0
1741737600.104000,26,4.3296,3.9350,5.5392,5.7626,-4.4423,4.3934,3.4921,10.3583,1.5093,-2.5917,4.7375,1.7849,-0.9246,3.4492,8.6754,-5.0728,0.0
1741737600.108000,27,5.6972,4.5229,7.2492,2.1623,-6.9839,7.8320,1.4023,9.4426,1.6559,-0.9985,0.3361,0.3443,0.6604,4.0326,9.4100,-8.4642,0.0
1741737600.112000,28,6.1003,6.5209,2.1076,1.4067,-2.2956,7.9273,-0.8774,8.4173,-0.0131,-3.6037,-5.1875,-1.7951,-0.3632,0.6961,10.8130,-8.3230,0.0
