timestamp,package_num,Fp1,Fp2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,T3,T4,Pz,Oz,marker
1741737600.000000,0,26.9283,23.4706,23.3860,-0.0827,14.7062,1.3295,1.6661,-1.8298,11.1912,18.6173,28.4320,-0.0186,19.6596,0.7785,18.7800,8.0168,0.0
1741737600.004000,1,26.2485,24.6912,24.0920,0.0738,14.3271,4.5508,2.4012,-0.2484,17.3257,19.4829,18.6101,2.8462,20.8992,3.6681,21.9456,10.8916,0.0
1741737600.008000,2,30.5428,26.9444,22.4260,-1.0519,13.7606,-5.5847,3.4435,0.3718,19.3994,22.7706,18.9506,3.3578,23.5704,6.7161,20.6253,19.0797,0.0
1741737600.012000,3,28.4134,28.1847,18.3364,0.8551,14.3505,-4.3803,4.5697,3.0361,21.8210,23.4774,19.3918,0.2161,21.9801,7.1089,19.9792,20.6983,0.0
1741737600.016000,4,32.3917,30.7225,19.1274,1.7283,13.6781,-3.4289,2.7007,6.9344,21.7207,24.3454,21.7880,1.9773,22.0570,7.7321,15.1297,21.7747,0.0
1741737600.020000,5,35.3792,32.2849,15.9474,3.5454,12.7718,-0.6225,8.9017,6.6176,24.5825,23.9699,19.9227,3.5656,22.6323,10.5915,17.1901,21.7879,0.0
1741737600.024000,6,35.7127,33.4842,15.8244,3.1434,9.7799,-0.7528,9.5173,7.6278,23.6756,23.2238,20.1803,5.9462,24.8035,11.8370,15.2890,14.1013,0.0
1741737600.028000,7,32.5140,30.7064,11.6360,3.4218,6.2548,-1.6729,12.5775,8.6672,25.6685,22.9434,19.5404,7.2111,23.8346,8.4894,13.8537,18.9234,0.0
1741737600.032000,8,29.4591,34.0408,-3.1536,5.3122,7.4485,2.6908,12.3068,9.9067,24.0802,24.7823,21.7150,7.2143,21.1679,11.8224,16.7756,14.3607,0.0
1741737600.036000,9,28.2817,33.9477,-3.3508,6.5921,1.0762,3.4428,14.5307,10.3854,24.6588,23.8932,22.5748,9.6384,19.4443,12.5032,16.2533,17.1730,0.0
1741737600.040000,10,27.9646,32.8007,-3.5235,6.0179,-2.4180,2.9706,16.1266,10.4545,23.1471,21.1347,18.2246,11.5817,16.9296,14.9189,18.1306,16.3882,0.0
1741737600.044000,11,28.2410,31.2243,-4.5721,4.8950,-4.2473,3.8493,16.5466,11.6473,24.5110,20.8638,21.0045,14.3047,16.3726,23.1979,19.2623,16.8442,0.0
1741737600.048000,12,23.1315,31.3154,-8.0161,7.3888,-5.5403,7.6192,20.6008,14.3073,22.8352,22.7794,18.7232,15.9319,14.6949,26.0411,18.3711,19.5453,0.0
1741737600.052000,13,13.0880,28.0772,-8.7439,8.4771,-8.4403,8.0877,18.9061,14.5786,20.9751,18.7868,22.6053,14.2099,11.6422,24.5862,17.6401,17.2803,0.0
1741737600.056000,14,12.3529,27.5275,-11.0416,9.4301,-10.8834,8.7135,21.3669,12.5543,20.7687,17.7346,24.2869,15.1530,9.5926,26.8968,18.7706,19.9805,0.0
1741737600.060000,15,10.6515,24.0318,-9.3496,10.0756,-12.1015,8.9971,22.5884,12.3413,10.1376,15.7249,23.7618,13.6385,7.2376,27.0309,17.6838,18.2906,0.0
1741737600.064000,16,11.1143,21.5941,-11.5506,9.0767,-12.0199,11.4634,23.0448,11.6819,10.3430,16.1714,23.8379,10.6562,5.8693,27.7239,17.8778,19.4535,0.0
1741737600.068000,17,8.2983,17.8621,-11.2926,10.0260,-15.9909,11.1199,23.4805,13.7275,9.7219,15.2936,23.9694,21.9288,4.7437,28.2291,20.4795,18.8968,0.0
1741737600.072000,18,8.0368,16.9044,-13.1361,8.4644,-17.8570,9.0712,22.1033,11.2249,9.3975,16.8512,24.4059,23.2961,2.8963,26.6795,21.7769,20.1685,0.0
1741737600.076000,19,5.2130,16.1801,-13.3950,9.8106,-19.0718,9.7939,19.6748,16.1659,7.2674,15.2842,20.6453,24.4710,-0.9558,23.8688,19.3352,19.0900,0.0
1741737600.080000,20,0.9570,11.1043,-15.3843,9.5935,-22.2149,21.8037,18.4341,17.5251,9.1858,14.6930,16.4575,24.4807,-6.3458,24.5515,18.9562,17.2311,0.0
1741737600.084000,21,2.6481,9.1738,-16.7457,9.6841,-19.8639,24.3449,20.3988,20.1913,8.3174,12.4392,14.5153,15.1748,-5.4150,24.2663,18.3981,16.3033,0.0
1741737600.088000,22,-1.6053,7.5792,-18.1019,10.1077,-22.2803,23.5543,20.3110,19.8717,7.5853,13.3679,13.0099,14.1750,-7.9036,24.3013,18.4937,15.7344,0.0
1741737600.092000,23,-2.4281,7.0980,-19.6597,24.8697,-25.6310,25.4715,20.8032,20.4779,9.2013,10.7857,11.2353,16.6140,-12.1432,22.9084,17.2574,16.4291,0.0
1741737600.096000,24,-1.8251,6.9750,-21.1017,25.5981,-23.8913,27.8437,18.3924,22.2164,9.2973,10.9824,10.6019,17.3280,-15.1389,22.2290,15.8590,13.0505,0.0
1741737600.100000,25,-4.5942,1.7853,-24.5265,29.6047,-25.6050,28.5746,17.0606,22.1122,9.1021,13.2012,9.1747,17.6321,-12.9973,23.3953,14.6502,16.6789,0.0
1741737600.104000,26,-2.7024,-0.8667,-21.9552,28.7765,-26.0074,27.7271,14.9800,20.7358,10.4667,7.6554,7.4374,20.8653,-13.2170,21.1458,10.9921,13.9754,0.0
1741737600.108000,27,-2.5252,-1.5010,-23.2548,31.1431,-27.2724,28.1052,14.0249,21.7743,8.1111,10.4400,3.9951,20.9022,-16.7263,22.0242,9.5624,12.8227,0.0
1741737600.112000,28,-5.8203,-3.3093,-24.1427,28.4762,-25.0493,25.7423,11.1743,22.9669,8.6364,7.2430,-0.4994,18.9990,-19.8620,21.4384,8.9310,10.7710,0.0
1741737600.116000,29,-7.4396,-6.7242,-24.4230,30.9605,-22.2028,26.7138,6.8967,24.8118,5.9036,6.7645,-2.5891,19.9973,-16.2958,18.5082,5.4199,9.8789,0.0
1741737600.120000,30,-8.8051,-7.2460,-25.3581,33.0383,-22.7985,25.4297,8.3548,25.4508,7.2006,5.7350,-3.8737,20.4590,-19.5395,17.7563,4.4780,10.0926,0.0
1741737600.124000,31,-9.5202,-6.7674,-25.7980,32.8473,-21.4122,25.8846,5.5992,24.6667,6.3323,2.0681,-9.3379,23.0206,-20.9451,18.3369,3.8555,8.8748,0.0
1741737600.128000,32,-8.9645,-7.9791,-25.5772,29.9470,-21.0819,23.6403,3.9544,23.5987,5.8192,-0.0443,-10.5942,24.0788,-18.6595,17.0195,-0.9484,5.6932,0.0
1741737600.132000,33,-11.9654,-5.1167,-26.9221,28.6605,-23.7096,22.4900,1.5906,26.3257,-0.6106,3.8138,-15.0815,25.1675,-18.9966,16.2905,-2.0649,4.3996,0.0
1741737600.136000,34,-11.6048,-9.6387,-29.1657,26.5701,-20.8901,21.5279,0.3241,24.7216,1.2433,-1.4719,-15.6819,22.9391,-20.4872,14.7946,-6.3370,2.5027,0.0
1741737600.140000,35,-14.4196,-9.5802,-29.8432,26.2673,-21.3700,19.7082,-2.1318,22.6875,-2.0390,-1.1565,-17.3881,25.4170,-21.9388,15.5566,-7.0402,2.7805,0.0
